,Description,ASIN,Product Description,Manufacturer
0,"   Material: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women<br> <br>    Compartments: 4 compartments including 1 main compartment for 15.6 inch laptop, 2 zippers at side, 1 anti-theft zipper at back keeping your wallet, cards and phone safe, 2 additional water pouches, Multiple interior slot pocket for your other belonging such as notebook, tablet, phones, water bottle. USB charging slot with ear phone hole<br> <br>    Capacity: 35-45 litres capacity used for daily office goers. Also used as travelling, hiking, trekking backpack<br> <br>    Accurate air bubbles reduces excess weight and stress by 55 % on your shoulders and Back tough air mesh cushion supports your spinal during long go<br> <br>    Compartment Description: Up To 15 Inches; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult <br>    
",B07XYTZP4Z,unknown,Red Lemon
1,"   ? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>    ? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>    ? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>    ? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>    Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>    
",B09ZYMT7V1," 
",Encon Impex Pvt Ltd
2,"   Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support    
",unknown,unknown,unknown
3,"   30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    
› See more product details ",unknown,unknown,unknown
4,"   The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.    Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.    Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.    External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.    Manufacturer warranty - 2 years    
",B097RJ22Q3," 
 This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.  ",Bagzone Lifestyle Pvt Ltd
5,"   Material: Water Resistant Light-Weight Polyester<br>    Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>    Closure Type: Zipper<br>    
",B09TPX22NF,unknown,ADISA
6,"   Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,    
",B08Z1HHHTD," 
 Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack  ",VIP Industries Ltd
7,"   SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.    
",B085MHDJ93,unknown,Amazing Bags
8,"   Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper    
",Gear Merchandise PVT LTD," 
 Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.  ",: ‎ 17 December 2015
9,"   MULTI-FUNCTION COMPARTMENT: HALF MOON laptop bag for men features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: The Laptop bag for men / backpack for men has superior quality durable eco-friendly waterproof and anti-scratch polyester and this office bag for men / Laptop backpacks for men features a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.    COMFORTABLE DESIGN IN LAPTOP BAG FOR MEN: Our backpack for men’s ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the college bags for men comfortable to wear even when loaded with all your gear; Compact: The backpack for men / college bags for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.    SIZE OF LAPTOP BAG FOR MEN:18*13*10 inch(L*W*H), Capacity: The office bag for men has capacity of 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and office bag for women.    OTHER FEATURES OF OFFICE BAG FOR MEN: The office bag for men and office bag for women has laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.    
",B0BLVQ9NTD," 
 A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.  ",Half_Moon (AB Amazing Bags)
